Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
37	3.027027027027027	112	69	40	3
37	2.918918918918919	108	68	39	1
37	2.972972972972973	110	62	48	0
36	3.0	108	62	46	0
35	3.0285714285714285	106	61	45	0
39	2.9743589743589745	116	66	50	0
33	2.9696969696969697	98	58	40	0
37	3.027027027027027	112	69	43	0
37	2.945945945945946	109	65	44	0
35	2.942857142857143	103	58	44	1
34	3.0	102	58	44	0
36	2.9166666666666665	105	61	43	1
37	2.945945945945946	109	72	36	1
38	2.973684210526316	113	70	43	0
33	2.9393939393939394	97	59	38	0
36	3.0277777777777777	109	65	44	0
38	3.026315789473684	115	67	48	0
38	3.0	114	66	48	0
39	3.0	117	74	42	1
36	3.0	108	60	48	0
36	3.0	108	63	45	0
37	3.054054054054054	113	64	49	0
37	3.0	111	69	42	0
35	3.0	105	64	40	1
37	3.027027027027027	112	66	46	0
36	2.9722222222222223	107	65	42	0
36	3.0	108	64	44	0
38	3.0	114	69	45	0
37	2.945945945945946	109	65	44	0
36	3.0555555555555554	110	64	46	0
37	2.918918918918919	108	64	44	0
33	2.9696969696969697	98	60	38	0
38	3.0	114	65	49	0
37	2.945945945945946	109	59	50	0
33	3.0	99	62	36	1
37	3.027027027027027	112	68	44	0
38	3.0	114	69	45	0
35	3.0285714285714285	106	63	41	2
34	2.9411764705882355	100	54	46	0
38	3.026315789473684	115	71	44	0
35	2.9714285714285715	104	63	41	0
38	3.026315789473684	115	68	47	0
36	3.0	108	64	44	0
36	2.9444444444444446	106	57	49	0
37	2.945945945945946	109	57	52	0
36	3.0555555555555554	110	69	41	0
38	2.973684210526316	113	72	41	0
35	3.0	105	58	47	0
35	2.914285714285714	102	57	45	0
36	3.0277777777777777	109	61	48	0
34	2.9705882352941178	101	57	44	0
37	2.972972972972973	110	61	49	0
38	2.973684210526316	113	61	52	0
36	3.0277777777777777	109	65	44	0
38	3.026315789473684	115	66	48	1
36	3.0277777777777777	109	69	37	3
36	2.9722222222222223	107	62	45	0
36	3.0277777777777777	109	68	40	1
33	3.0	99	54	45	0
36	3.0277777777777777	109	59	50	0
38	2.9473684210526314	112	68	44	0
38	3.0789473684210527	117	68	49	0
36	2.9722222222222223	107	65	42	0
34	3.0294117647058822	103	62	40	1
33	3.0606060606060606	101	58	43	0
35	3.085714285714286	108	72	35	1
39	2.923076923076923	114	73	41	0
36	3.0277777777777777	109	59	49	1
36	3.0	108	61	47	0
36	3.0555555555555554	110	66	44	0
37	3.0	111	64	47	0
39	3.128205128205128	122	71	51	0
37	3.027027027027027	112	60	52	0
35	3.057142857142857	107	65	42	0
37	3.0	111	67	44	0
